Depozito,Fiyat Durumu,Site İçerisinde,Eşya Durumu,Brüt Metrekare,Aidat,Binanın Yaşı,Takas,Net Metrekare,Türü,Balkon Tipi,Yapı Tipi,Salon Metrekare,WC Sayısı,İlan Güncelleme Tarihi,Bulunduğu Kat,Yapı Durumu,Isıtma Tipi,Oda Sayısı,İlan Oluşturma Tarihi,Balkon Sayısı,Görüntülü Gezilebilir mi?,Fiyat,Banyo Sayısı,Binanın Kat Sayısı,Kategorisi,Balkon Metrekare,Balkon Durumu,Kullanım Durumu,İlan Numarası,WC Metrekare,Banyo Metrekare
10000 TL,Genel Fiyat,Hayır,,95 M2,0 TL,21 Ve Üzeri,,90 M2,Konut,,,,,20 Mayıs 2023,4.Kat,,Kombi Doğalgaz,2+1,19 Mayıs 2023,,,"10,000TL",1,5,Kiralık,,Var,Boş,13248996,,
20000 TL,Genel Fiyat,Hayır,Boş,90 M2,100 TL,21 Ve Üzeri,Yok,80 M2,Konut,Kapalı Balkon,Betonarme,,1,19 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,2+1,19 Mayıs 2023,2,,"10,000TL",1,5,Kiralık,,Var,Boş,13248698,,
30000 TL,Genel Fiyat,Hayır,Boş,95 M2,100 TL,21 Ve Üzeri,Yok,85 M2,Konut,Kapalı Balkon,Betonarme,21 M2,2,19 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,2+1,19 Mayıs 2023,1,Evet,"15,000TL",1,5,Kiralık,,Var,Boş,13248646,,
20000 TL,Genel Fiyat,Hayır,Boş,75 M2,80 TL,3,Yok,70 M2,Konut,Açık Balkon,Betonarme,,1,18 Mayıs 2023,2.Kat,Sıfır,Kombi Doğalgaz,2+1,18 Mayıs 2023,1,Hayır,"10,000TL",1,6,Kiralık,,Var,Boş,13245509,,
,Genel Fiyat,Hayır,,120 M2,,21 Ve Üzeri,,110 M2,Konut,Kapalı Balkon,Betonarme,,2,20 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,2+1,18 Mayıs 2023,1,Hayır,"15,000TL",1,4,Kiralık,,Var,Boş,13242886,,
20000 TL,Genel Fiyat,Hayır,Eşyalı,100 M2,,16-20,Yok,90 M2,Konut,,Betonarme,,1,18 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,2+1,18 Mayıs 2023,,Evet,"11,000TL",1,5,Kiralık,,Yok,Boş,13241472,,
,Genel Fiyat,Hayır,,120 M2,,21 Ve Üzeri,Yok,95 M2,Konut,,Betonarme,,,18 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,2+1,18 Mayıs 2023,,,"13,000TL",1,5,Kiralık,,,Mülk Sahibi Oturuyor,13240414,,
8000 TL,Genel Fiyat,Hayır,,110 M2,,21 Ve Üzeri,,100 M2,Konut,,,,,20 Mayıs 2023,5.Kat,,Kombi Doğalgaz,2.5+1,20 Mayıs 2023,,,"8,000TL",1,5,Kiralık,,Var,Boş,13255690,,
,Genel Fiyat,Evet,,80 M2,100 TL,21 Ve Üzeri,,70 M2,Konut,Kapalı Balkon,,,1,20 Mayıs 2023,7.Kat,,Kombi Doğalgaz,2+1,20 Mayıs 2023,1,,"13,500TL",1,13,Kiralık,,Var,Boş,13255161,,
17000 TL,Genel Fiyat,Hayır,Boş,75 M2,50 TL,0 (Yeni),Yok,70 M2,Konut,,Betonarme,20 M2,1,20 Mayıs 2023,Yüksek Giriş,Sıfır,Kombi Doğalgaz,2+1,20 Mayıs 2023,,Evet,"8,500TL",1,4,Kiralık,,Yok,Boş,13254984,,10 M2
,Genel Fiyat,Hayır,Boş,150 M2,,15-Nov,Yok,140 M2,Konut,,,,,20 Mayıs 2023,4.Kat,,Kombi Doğalgaz,3+1,20 Mayıs 2023,,,"32,000TL",2,4,Kiralık,,,Boş,13253480,,
,Genel Fiyat,Evet,Boş,65 M2,,0 (Yeni),Yok,45 M2,Konut,,,,,18 Mayıs 2023,4.Kat,,Merkezi (Pay Ölçer),1+1,18 Mayıs 2023,,,"13,000TL",1,9,Kiralık,,,Boş,13245453,,
,Genel Fiyat,Evet,Boş,65 M2,,0 (Yeni),Yok,45 M2,Konut,,,,,18 Mayıs 2023,6.Kat,,Merkezi (Pay Ölçer),1+1,18 Mayıs 2023,,,"13,000TL",1,9,Kiralık,,,Boş,13245448,,
,Genel Fiyat,Evet,Boş,63 M2,,0 (Yeni),Yok,43 M2,Konut,,,,,18 Mayıs 2023,7.Kat,,Merkezi (Pay Ölçer),1+1,18 Mayıs 2023,,,"13,000TL",1,9,Kiralık,,,Boş,13245445,,
2 TL,Birim Fiyat,Hayır,,120 M2,1 TL,21 Ve Üzeri,,115 M2,Konut,,,,,17 Mayıs 2023,Yüksek Giriş,,Kombi Doğalgaz,3+1,17 Mayıs 2023,,,"12,500TL",1,5,Kiralık,,Yok,Boş,13238780,,
,Genel Fiyat,Hayır,Boş,120 M2,100 TL,21 Ve Üzeri,Yok,110 M2,Konut,Açık Balkon,Betonarme,,2,16 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,3+1,16 Mayıs 2023,1,,"9,500TL",1,5,Kiralık,,Var,Boş,13234258,,
,Genel Fiyat,Hayır,Boş,110 M2,0 TL,21 Ve Üzeri,,105 M2,Konut,"Açık Balkon, Kapalı Balkon",Betonarme,,2,21 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,3+1,16 Mayıs 2023,2,,"11,000TL",1,5,Kiralık,,Var,Kiracı Oturuyor,13234114,,
30000 TL,Genel Fiyat,Evet,Boş,105 M2,,10-May,Yok,90 M2,Konut,,Betonarme,,2,19 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,2+1,16 Mayıs 2023,,,"15,000TL",2,8,Kiralık,,Var,Boş,13232770,,
,Genel Fiyat,Hayır,Boş,110 M2,150 TL,21 Ve Üzeri,Yok,100 M2,Konut,,Betonarme,,1,16 Mayıs 2023,5.Kat,İkinci El,Kombi Doğalgaz,2+1,16 Mayıs 2023,2,Hayır,"9,000TL",1,5,Kiralık,,Var,Boş,13232268,,
20000 TL,Genel Fiyat,Hayır,,85 M2,,21 Ve Üzeri,,80 M2,Konut,,,,,17 Mayıs 2023,Bahçe Katı,,Kombi Doğalgaz,2+1,16 Mayıs 2023,,,"10,000TL",1,5,Kiralık,,Var,Boş,13232255,,
20000 TL,Genel Fiyat,Hayır,Boş,155 M2,150 TL,4,,150 M2,Konut,"Açık Balkon, Açık Teras",Betonarme,,2,16 Mayıs 2023,Çatı Dubleks,İkinci El,Kombi Doğalgaz,4+1,16 Mayıs 2023,2,Evet,"15,000TL",2,5,Kiralık,,Var,Boş,13232062,,
,Genel Fiyat,Hayır,,80 M2,,21 Ve Üzeri,,1 M2,Konut,,,,,21 Mayıs 2023,4.Kat,,Kombi Doğalgaz,2+1,16 Mayıs 2023,,,"7,000TL",1,5,Kiralık,,,Boş,13231618,,
